city,country,cost_index_1,cost_index_2,cost_index_3,cost_index_4,cost_index_5,cost_index_6,cost_index_7,cost_index_8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
Puducherry,India,1.35,10.75,3.56,0.98,1.84,1.76,0.37,0.12,0.58,0.43,0.65,0.77,5.37,3.22,5.94,2.39,0.69,1.01,0.46,0.33,0.41,0.57,0.32,7.98,1.45,3.49,3.13,0.2,6.14,0.18,0.18,0.61,1.24,11716.8,20264.9,25.1,0.01,9.01,13.31,4.91,1.84,53.73,2681.52,31.37,32.61,47.2,37.25,141.24,69.08,337.75,230.28,546.28,430.71,537.33,7.97,0
Paradise,United States,,,7.25,,6.0,4.25,,1.5,,,4.32,,12.5,,,3.81,1.34,3.22,3.51,1.94,2.76,1.48,1.5,12.98,,2.38,9.0,,,3.5,1.86,35.0,,24000.0,20000.0,184.14,0.1,70.0,,,12.0,,14166.67,42.26,36.67,76.11,100.0,,,,,2690.98,2152.78,,,0
Elche,Spain,10.54,28.98,7.38,2.24,2.63,1.58,1.71,1.23,0.83,1.05,0.96,1.79,6.32,5.9,11.74,1.82,1.64,1.02,1.4,1.22,1.04,0.95,0.58,4.21,0.85,1.7,5.27,1.58,31.61,4.21,1.29,13.7,1.71,21074.9,18967.41,136.92,0.13,38.64,44.78,,8.17,316.12,6838.46,73.06,26.08,66.74,65.2,526.87,421.5,1159.12,895.68,3688.11,,1491.05,1.43,0
Messina,Italy,11.06,52.69,8.43,3.16,3.16,1.58,1.84,1.05,1.05,1.23,1.21,3.65,10.54,7.02,11.59,1.93,1.84,1.16,0.87,1.16,1.16,0.68,0.68,5.27,1.58,1.05,5.48,1.58,31.61,4.48,1.2,28.98,2.31,27924.25,27924.25,91.32,0.37,40.74,36.88,34.07,8.17,336.14,,61.47,25.16,75.08,84.3,342.47,263.44,895.68,632.25,,,1116.97,2.0,0
Okara,Pakistan,1.56,6.71,4.92,1.79,,1.34,0.21,0.16,0.42,0.4,0.7,0.93,12.52,2.12,4.32,0.75,0.36,0.36,0.45,0.22,0.4,,0.27,1.34,1.12,1.56,1.34,0.16,7.68,0.22,,1.48,0.82,,13410.82,80.49,0.01,89.41,10.43,2.24,5.36,22.35,737.59,14.53,22.35,67.05,55.13,67.05,44.7,156.46,89.41,268.22,89.41,192.22,7.0,0
Arapiraca,Brazil,4.79,22.99,5.94,1.53,2.3,1.51,0.95,0.51,1.07,1.16,1.1,1.72,7.14,3.97,8.0,1.84,1.04,1.05,1.29,1.0,0.9,0.52,0.66,6.71,1.07,1.43,2.3,,,1.07,0.53,3.61,1.26,25625.55,28367.25,77.53,0.31,19.79,,,6.71,319.32,6418.36,47.18,40.87,70.62,50.29,,76.64,287.39,,,,,8.43,0
Badalona,Spain,11.06,37.93,7.48,2.0,2.9,2.0,2.0,1.37,0.77,1.09,0.95,2.12,15.81,6.85,14.23,1.69,2.09,1.42,2.1,1.02,1.58,1.21,0.51,8.43,1.0,1.76,5.27,2.32,42.15,2.32,1.02,21.3,1.8,26280.41,25816.76,158.2,0.02,33.37,42.41,25.29,8.54,263.44,4636.48,73.76,50.93,77.27,98.35,1001.06,843.0,1475.24,1369.87,5619.97,3828.61,1766.78,2.25,0
Rancagua,Chile,5.09,33.96,6.51,2.15,3.4,2.57,2.08,1.09,1.05,1.36,1.25,2.13,7.19,3.99,7.55,1.66,1.32,1.85,1.28,0.75,1.06,0.87,0.94,3.96,1.02,2.45,3.96,0.54,,0.68,0.68,9.05,1.15,15280.14,16977.93,77.53,0.07,24.15,32.07,9.05,5.66,424.45,5432.94,50.37,16.6,45.27,45.27,396.15,320.69,641.39,679.12,1697.79,1697.79,679.12,4.0,0
Marilia,Brazil,4.79,19.16,5.75,1.32,2.73,1.74,0.9,0.51,0.96,1.49,0.78,1.37,6.74,3.69,7.09,1.13,0.81,0.71,0.77,1.0,0.91,0.57,0.4,5.32,0.57,1.92,1.92,0.86,,0.94,0.49,4.31,1.0,18680.31,24907.08,47.9,,19.12,22.99,13.41,3.93,177.42,3592.37,36.34,18.52,49.81,30.02,287.39,153.27,574.78,287.39,957.96,478.98,383.19,10.5,0
Dzerzhinsk,Russia,12.8,24.0,,,1.92,1.44,1.04,0.4,1.02,0.64,1.71,1.6,12.0,3.93,10.8,2.03,1.72,1.76,2.48,0.92,0.92,0.48,1.04,4.4,0.96,1.71,2.53,0.48,,0.8,0.23,6.72,0.81,36400.01,30400.0,98.87,0.02,6.28,24.0,20.8,4.8,,,60.0,56.0,76.0,112.0,240.0,208.0,,,1600.0,800.0,480.0,8.5,0
Bratsk,Russia,,,,,,,,,1.12,0.8,1.12,2.11,,4.8,6.4,3.68,1.92,,,,0.64,,0.8,,,,2.4,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indaiatuba,Brazil,5.27,28.74,4.79,1.34,1.92,1.39,0.92,0.57,0.95,1.43,1.02,2.11,10.54,4.12,8.61,1.28,0.91,0.74,1.29,0.83,0.76,0.71,0.51,8.62,1.14,2.3,1.92,0.89,,0.96,0.74,9.87,1.11,17243.36,24485.15,60.58,0.29,18.82,36.31,,7.66,168.6,5747.79,68.78,49.34,95.8,57.48,335.29,169.24,498.14,364.03,1214.52,1069.09,454.89,8.73,0
Envigado,Colombia,2.1,14.69,4.98,0.57,1.47,1.12,0.45,0.34,0.79,0.65,0.53,1.31,1.73,2.73,3.01,1.51,0.38,0.47,0.78,0.35,0.39,0.4,0.45,4.2,0.63,0.94,1.47,0.61,25.18,0.84,1.07,2.52,0.5,7445.77,14182.42,44.09,0.04,24.92,29.68,,3.25,41.96,,35.14,24.48,44.96,32.87,230.78,199.31,412.61,468.51,356.66,230.78,370.65,10.33,0
Ormoc,Philippines,0.9,21.53,5.38,2.65,2.96,1.79,0.27,0.27,1.66,0.76,0.94,1.61,8.97,2.96,3.77,1.79,0.9,1.79,0.58,0.67,0.54,0.94,0.9,6.46,1.03,1.39,0.9,0.22,0.0,0.36,0.72,3.59,1.16,14353.64,17942.05,53.83,0.19,39.41,10.77,,4.49,179.42,,35.88,22.43,83.73,71.77,,251.19,358.84,143.54,,,322.96,9.0,0
Fresnillo,Mexico,5.16,18.05,5.16,1.29,3.09,2.06,0.57,0.46,0.93,,,,,,,,,,,,,,,,,,2.58,0.36,10.31,0.77,,7.74,1.08,,,28.36,0.05,20.63,15.47,5.16,2.32,154.71,2578.45,,,,,154.71,87.67,257.84,309.41,515.69,412.55,412.55,8.5,0
Americana,Brazil,9.58,22.99,5.75,0.96,1.53,0.96,0.77,0.38,0.81,,0.96,1.49,5.75,4.6,9.58,1.34,0.96,0.77,,0.96,0.77,0.38,0.72,5.75,1.92,3.83,3.83,0.86,12.5,,,,1.19,,,,,22.99,21.08,,2.87,383.19,,28.74,19.16,59.39,40.23,210.75,143.69,517.3,335.29,747.21,,191.59,9.25,0
Vizianagaram,India,1.23,12.28,2.76,2.15,3.68,0.49,0.34,0.2,0.61,0.43,0.61,0.66,4.3,4.18,,1.95,0.61,0.98,0.31,0.31,0.35,,0.29,3.68,1.41,2.7,3.44,0.49,9.21,1.23,0.25,0.74,1.35,,,12.28,0.02,4.91,36.85,3.68,1.47,31.93,1166.77,24.56,12.28,85.97,12.28,,,,,3684.53,1228.18,307.04,8.0,0
Cotia,Brazil,5.27,28.74,5.36,0.96,2.87,1.34,0.77,0.57,1.09,1.44,1.24,1.97,8.69,4.57,7.24,1.34,1.1,0.83,2.26,1.13,0.81,0.7,0.53,5.75,1.24,1.61,2.3,0.86,,0.84,0.68,6.32,1.26,13660.57,23757.52,57.48,0.29,19.16,14.37,,5.75,141.78,7044.3,29.95,32.57,44.71,47.9,,,,,,,,7.8,0
Kropyvnytskyi,Ukraine,4.08,8.16,3.26,0.93,0.91,0.82,0.42,0.26,0.77,0.51,1.41,0.87,5.38,3.52,5.58,0.63,0.74,0.92,0.94,0.35,0.57,0.41,0.44,3.36,0.66,0.93,2.05,0.27,3.81,1.02,0.19,2.18,0.91,30987.49,21829.98,83.2,0.01,3.26,13.6,9.99,2.18,72.52,1359.82,33.32,27.2,50.99,34.97,249.79,119.9,299.75,149.87,1248.95,899.24,299.75,13.9,0
Rondonopolis,Brazil,4.79,10.54,4.79,1.92,3.83,1.34,1.72,0.77,,,,,,,,,,,,,,,,,,,,0.79,,,,,0.96,,,,,19.16,19.16,,3.83,,,,,,,114.96,67.06,,,,,613.1,,0
Krefeld,Germany,13.17,52.69,8.32,3.69,3.06,2.42,2.99,2.37,1.0,1.4,2.1,2.1,12.07,6.13,10.89,2.21,1.68,1.96,0.83,0.73,1.05,1.09,0.62,3.42,0.56,1.16,7.38,2.95,80.08,3.16,2.0,34.14,2.32,12644.94,18967.41,214.76,0.2,29.5,22.83,,11.59,149.1,,57.96,47.42,94.84,126.45,569.02,,,,,,2423.61,1.73,0
Mage,Brazil,2.87,19.16,4.79,1.05,1.92,1.39,0.62,0.77,0.61,0.98,1.34,1.72,4.79,2.01,5.46,0.96,0.86,0.94,1.15,0.81,0.77,0.53,0.45,5.08,0.81,1.15,2.68,0.89,29.7,1.05,0.48,4.6,1.26,14369.47,15327.43,55.56,0.08,15.33,14.37,31.61,4.31,98.67,1628.54,40.23,45.98,67.06,55.56,172.43,119.75,249.07,191.59,1149.56,354.45,445.45,7.77,0
Nagercoil,India,1.11,6.14,3.19,1.41,2.46,0.92,0.31,0.16,0.61,0.5,0.47,0.76,4.91,2.12,4.58,1.23,0.66,0.94,0.25,0.37,0.47,0.25,0.32,4.3,1.5,2.58,2.21,0.12,0.0,1.23,0.37,0.74,1.25,12281.76,18422.64,18.8,0.0,8.26,6.14,0.0,1.97,10.23,368.45,29.29,27.33,24.56,24.56,85.97,61.41,107.47,98.25,330.5,,436.0,7.89,0
Jacarei,Brazil,,,,,,,,,,,,1.37,,,,1.34,,0.57,,0.76,,0.38,,6.71,0.69,0.96,,0.8,,,,,,,,,,19.16,,,5.75,,,,,,,287.39,229.91,,,,,,,0
Angarsk,Russia,8.0,32.0,5.36,1.6,3.04,,0.96,0.4,0.96,0.64,,,,4.8,,,,,,,,,0.8,,,,,0.56,,2.4,,,,,,,,19.04,,,,,,,,,,,,,,,,,,0
Araraquara,Brazil,10.54,25.87,5.94,0.96,1.72,2.01,0.86,0.35,0.9,0.77,1.6,2.22,5.36,4.02,6.32,1.34,0.94,0.89,1.12,0.84,0.77,0.61,0.44,4.98,0.72,1.53,1.92,0.96,,0.44,0.25,2.3,1.18,13890.49,24907.08,67.06,,15.33,17.72,,2.87,191.59,2988.85,44.71,41.51,86.22,47.9,287.39,134.12,344.87,210.75,1341.15,574.78,517.3,10.33,0
Quetzaltenango,Guatemala,4.46,19.1,5.73,1.34,2.55,2.38,0.72,0.54,1.48,1.63,1.26,1.75,3.77,5.05,6.61,2.87,1.02,2.59,1.56,1.63,1.66,0.74,0.97,8.92,1.08,1.74,2.87,0.25,3.82,3.5,0.64,6.37,0.72,15537.85,22087.41,88.2,0.16,46.81,31.84,9.55,5.73,205.59,5158.06,55.76,55.19,98.07,109.99,124.93,416.74,377.76,251.84,994.62,300.99,465.39,7.69,0
Karnal,India,1.84,10.44,3.44,1.97,,1.47,0.49,0.12,0.66,0.4,0.61,0.74,2.46,3.07,3.68,1.47,0.78,0.9,0.46,0.28,0.37,,0.29,,,,,0.37,,,0.15,1.23,,9825.41,,36.85,,6.14,,,3.68,34.39,,,,,,,61.41,,122.82,1806.02,,675.5,8.38,0
Toamasina,Madagascar,2.52,11.45,4.58,0.69,1.15,1.26,0.66,0.74,0.81,0.23,0.7,1.88,9.85,3.78,4.35,1.69,0.34,1.15,0.92,0.41,0.92,,0.48,,0.69,1.15,,0.46,,,,,,,,,,,22.91,,,,,,,,,,99.32,,198.64,,,164.95,,0
Velikiy Novgorod,Russia,9.2,64.0,4.23,2.24,3.2,2.4,0.8,0.48,0.96,0.64,1.68,1.79,8.0,5.36,,0.96,1.26,1.52,1.28,0.64,0.52,,0.96,11.2,,,,0.48,21.6,,0.24,4.8,0.8,,,130.67,,7.25,16.67,,4.0,,,,,,,320.0,224.0,640.0,480.0,1200.0,1040.0,640.0,11.0,0
Puri,India,1.23,8.6,2.76,1.47,3.01,0.92,0.31,0.1,0.68,0.37,0.49,0.88,1.84,1.23,6.14,1.47,0.98,1.23,0.49,0.31,0.31,0.61,0.37,9.83,1.23,2.46,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chapeco,Brazil,3.83,57.48,4.79,1.53,4.79,2.3,0.77,,1.15,0.96,1.44,0.92,7.66,5.75,7.66,,,,,0.96,,,,,,,2.49,,,,,,,,,,,,22.99,,7.66,,,,,,,,,,,,,230.06,9.07,0
Czestochowa,Poland,5.63,41.69,5.81,2.59,1.13,2.25,0.68,1.35,0.67,1.13,0.77,2.05,6.03,4.66,6.76,0.78,1.08,1.24,2.95,0.73,0.63,0.75,0.46,4.51,0.72,1.01,3.72,0.81,22.54,1.58,0.45,6.76,1.48,10818.0,15753.71,180.3,,14.27,26.89,15.78,5.4,281.72,,22.54,7.89,61.98,56.34,349.33,304.26,788.81,766.27,1464.94,1126.87,878.96,8.0,0
